"","shifts","prob"
"1",67,0.000118
"2",71,0.000235
"3",72,0.000235
"4",73,0.000118
"5",74,0.000118
"6",75,0.000235
"7",76,0.000706
"8",77,0.000235
"9",78,0.000823
"10",79,0.000471
"11",80,0.000353
"12",81,0.000235
"13",82,0.000706
"14",83,0.000823
"15",84,0.00165
"16",85,0.00141
"17",86,0.00106
"18",87,0.002
"19",88,0.00259
"20",89,0.00247
"21",90,0.00224
"22",91,0.00306
"23",92,0.00329
"24",93,0.00365
"25",94,0.00671
"26",95,0.00565
"27",96,0.00376
"28",97,0.00459
"29",98,0.00623
"30",99,0.006
"31",100,0.00588
"32",101,0.00682
"33",102,0.00765
"34",103,0.0108
"35",104,0.008
"36",105,0.00988
"37",106,0.00941
"38",107,0.0119
"39",108,0.00953
"40",109,0.0116
"41",110,0.0151
"42",111,0.0127
"43",112,0.0152
"44",113,0.0136
"45",114,0.0154
"46",115,0.0153
"47",116,0.0134
"48",117,0.0191
"49",118,0.0171
"50",119,0.0198
"51",120,0.018
"52",121,0.0191
"53",122,0.0195
"54",123,0.0184
"55",124,0.018
"56",125,0.0179
"57",126,0.0179
"58",127,0.0192
"59",128,0.0164
"60",129,0.0202
"61",130,0.0216
"62",131,0.0186
"63",132,0.0171
"64",133,0.0185
"65",134,0.0169
"66",135,0.0186
"67",136,0.0165
"68",137,0.0172
"69",138,0.0176
"70",139,0.0198
"71",140,0.0158
"72",141,0.0175
"73",142,0.0167
"74",143,0.0158
"75",144,0.0134
"76",145,0.0166
"77",146,0.0129
"78",147,0.0145
"79",148,0.0128
"80",149,0.0118
"81",150,0.0111
"82",151,0.0102
"83",152,0.00906
"84",153,0.0101
"85",154,0.00918
"86",155,0.0087
"87",156,0.00694
"88",157,0.00929
"89",158,0.00682
"90",159,0.00835
"91",160,0.00682
"92",161,0.00588
"93",162,0.00647
"94",163,0.00541
"95",164,0.00459
"96",165,0.00482
"97",166,0.00447
"98",167,0.00329
"99",168,0.004
"100",169,0.00459
"101",170,0.00318
"102",171,0.00294
"103",172,0.00423
"104",173,0.00294
"105",174,0.00271
"106",175,0.00294
"107",176,0.00271
"108",177,0.00141
"109",178,0.00282
"110",179,0.00153
"111",180,0.00106
"112",181,0.000471
"113",182,0.00106
"114",183,0.000941
"115",184,0.000823
"116",185,0.000235
"117",186,0.000941
"118",187,0.000353
"119",188,0.000823
"120",189,0.000471
"121",190,0.000235
"122",191,0.000118
"123",192,0.000471
"124",194,0.000118
