generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-115600,10,0
1000,0,-40.2931,-4856.64,0.396156,0.184
2000,6,-46.0457,-4696.99,10.9323,0.311
3000,8,-42.9374,-4657.05,3.54958,0.329
4000,15,-35.02,-4665.77,12.4083,0.329
5000,13,-38.5513,-4686.87,15.5131,0.339
6000,16,-37.46,-4678.96,11.4793,0.333
7000,12,-41.0895,-4690.8,14.1096,0.344
8000,12,-38.0278,-4566.58,14.2829,0.237345
9000,16,-36.9442,-4561,12.4195,0.295
10000,16,-75.0726,-4485.43,13.6777,0.20168
11000,11,-80.4629,-4446.12,11.965,0.253
12000,18,-66.5519,-4455.21,16.6595,0.27
13000,15,-66.9351,-4492.59,20.8246,0.252
14000,25,-61.3191,-4506.35,23.6318,0.257
15000,20,-64.7739,-4521.62,20.4185,0.265
16000,17,-69.9054,-4511.21,17.9806,0.274
17000,17,-62.7196,-4532.31,19.5459,0.277
18000,23,-64.6654,-4531.18,28.9985,0.316
19000,25,-70.8361,-4542.03,17.4336,0.287
20000,28,-76.1584,-4544.87,34.4513,0.29
21000,28,-78.3946,-4534.43,33.3111,0.3
22000,29,-72.7146,-4533.1,21.169,0.286
23000,28,-69.2306,-4537.59,29.7508,0.286
24000,24,-74.3539,-4556.07,24.6972,0.311
25000,31,-69.2987,-4543.34,29.8153,0.297
26000,32,-72.1206,-4536.73,28.4234,0.303
27000,33,-72.5625,-4534.44,30.6846,0.268
28000,36,-73.5121,-4538.18,35.4983,0.326
29000,35,-69.6684,-4529.7,35.9098,0.301
30000,33,-76.6353,-4538.18,30.4171,0.272
31000,36,-77.4954,-4524.79,26.1667,0.305
32000,38,-74.3452,-4517.37,33.8737,0.302
33000,38,-13.2154,-4611.02,32.8403,0.311333
34000,39,-13.5363,-4601.16,34.9993,0.307
35000,36,-16.2116,-4632.69,28.1115,0.304
36000,37,-75.6694,-4551.28,34.5283,0.29775
37000,38,-69.1927,-4557.19,37.5986,0.313
38000,37,-73.5809,-4546.52,36.8925,0.305
39000,40,-68.9599,-4545.84,41.1824,0.29
40000,36,-73.369,-4524.94,37.4443,0.292
41000,35,-71.7674,-4548.55,31.6908,0.311
42000,20,-33.9472,-4662.96,17.5086,0.290612
43000,22,-23.2111,-4655.92,17.4273,0.285
44000,21,-31.0933,-4632.7,19.7874,0.332
45000,34,-19.2929,-4692.94,37.9847,0.323816
46000,37,-20.7031,-4674.81,20.4133,0.3
47000,34,-63.4663,-4547.17,26.0201,0.303833
48000,38,-57.3361,-4547.25,32.0398,0.276
49000,36,-64.743,-4540.98,31.8841,0.293
50000,35,-66.7092,-4532.85,29.8019,0.299
51000,31,-63.5335,-4553.84,23.4813,0.292
52000,30,-60.4118,-4535.15,33.7201,0.325
53000,30,-61.7059,-4541.94,36.3161,0.301
54000,32,-60.446,-4537.4,41.4995,0.294
55000,31,-55.2501,-4562.61,22.0613,0.284
56000,38,-15.2728,-4632.39,29.9762,0.319524
57000,29,-50.6135,-4531.82,17.7127,0.3085
58000,26,-53.9578,-4537.23,30.2595,0.285
59000,31,-59.8769,-4527.43,30.2484,0.296
60000,34,-29.0265,-4653.18,37.9879,0.322571
61000,41,-24.1102,-4645.34,45.3037,0.298
62000,42,-54.5493,-4541.83,53.6125,0.302
63000,39,-20.3125,-4670.49,36.2889,0.308
64000,40,-9.30078,-4622.29,37.6793,0.31045
65000,42,-7.18183,-4607.86,38.4373,0.317
66000,52,-46.8564,-4535.26,50.7513,0.29275
67000,43,-10.9845,-4665.07,35.1225,0.328273
68000,40,-20.8195,-4679.96,43.2731,0.3274
69000,48,-19.4204,-4670.41,49.9783,0.307
70000,52,-19.3317,-4691,55.8359,0.345
71000,51,-15.7063,-4696.96,42.1173,0.337
72000,49,-5.16075,-4665.81,38.9113,0.319429
73000,47,-11.1788,-4648.88,41.3218,0.323
74000,55,-9.24082,-4654.28,38.2711,0.326714
75000,60,-7.53604,-4639.07,67.4794,0.336
76000,63,-1.81394,-4660.77,53.7821,0.324
77000,59,-4.96058,-4647.46,51.9307,0.328
78000,58,-2.35318,-4632.87,51.1597,0.333
79000,62,-43.4609,-4538.34,52.7383,0.299538
80000,62,-46.9897,-4528.03,48.591,0.286
81000,39,-13.3524,-4640.07,38.4962,0.314125
82000,38,-7.42274,-4636.13,44.4446,0.337
83000,54,-50.1452,-4520.39,48.9935,0.301
84000,49,-50.3293,-4523.04,30.7817,0.298
85000,32,-21.131,-4649.5,23.4156,0.301667
86000,42,-64.3066,-4536.65,44.5115,0.2975
87000,42,-60.4877,-4543.69,45.3857,0.276
88000,41,-72.3747,-4570.84,28.683,0.321
89000,46,-67.4028,-4563.21,44.4116,0.32
90000,45,-31.4851,-4659.41,58.6622,0.335917
91000,45,-34.7188,-4659.77,31.622,0.324
92000,54,-83.2454,-4575.43,57.8308,0.313333
93000,49,-27.3683,-4638.67,35.9539,0.324875
94000,50,-16.4053,-4657.82,47.6069,0.299
95000,43,-31.4397,-4672.54,30.1422,0.331417
96000,46,-20.1143,-4663.77,40.3925,0.323
97000,48,-23.8362,-4660.12,37.7113,0.364
98000,48,-64.8499,-4544.99,47.8545,0.308
99000,51,-15.8826,-4622.79,45.4833,0.322125
100000,50,-55.9915,-4546.08,47.1027,0.3065
101000,55,-45.8825,-4559.12,46.8851,0.284
102000,57,-41.0989,-4560.26,44.5408,0.319
103000,52,-50.0555,-4548.24,42.3025,0.305
104000,49,-55.8962,-4523.58,50.9622,0.301
105000,48,-54.5347,-4521.01,51.4093,0.303
106000,51,-53.1688,-4537.19,51.7486,0.297
107000,48,-59.6974,-4521.99,41.8131,0.289
108000,53,-54.1428,-4505.6,44.6694,0.298
109000,54,-44.2108,-4493.18,36.7231,0.317
110000,48,-46.9559,-4489.51,41.0766,0.271
111000,38,-21.0859,-4670.32,33.8908,0.328071
112000,44,-16.9108,-4643.55,52.4373,0.314
113000,48,-9.11051,-4640.95,47.0663,0.318
114000,54,-21.6954,-4656.72,54.4938,0.3295
115000,59,-26.3065,-4639.45,60.4254,0.35
116000,48,-17.0751,-4646.22,41.4123,0.322824
117000,66,-28.8133,-4476.14,51.4133,0.296714
118000,71,-24.1458,-4495.61,50.6848,0.298
119000,49,-15.2231,-4634.51,45.1733,0.330333
120000,50,-7.23214,-4629.28,40.2526,0.325
121000,46,-4.31371,-4640.02,34.1478,0.336
122000,53,2.63777,-4644.85,53.63,0.332857
123000,57,-0.43128,-4668.26,45.1527,0.296
124000,52,-8.84074,-4683.27,46.7013,0.361
125000,52,-41.4933,-4498.26,45.8642,0.309857
126000,52,-39.9202,-4503.67,48.9106,0.307
127000,54,-43.5898,-4495.86,45.9859,0.307
128000,55,-42.6401,-4491.06,55.4204,0.297
129000,54,-45.148,-4499.95,51.1261,0.31
130000,56,-42.6025,-4509.34,51.9994,0.27
131000,50,-43.3465,-4506.58,46.5559,0.31
132000,48,-45.1771,-4487.51,46.6849,0.31
133000,55,6.00886,-4649.76,54.1671,0.325333
134000,59,3.66611,-4659.04,42.6806,0.348
135000,51,-7.95777,-4681.65,41.5271,0.330682
136000,57,-0.57047,-4649.29,52.6169,0.316
137000,59,-5.19087,-4645.89,52.6169,0.321
138000,58,-3.39248,-4632.92,56.8739,0.311
139000,53,-16.2862,-4624.89,57.7304,0.327
140000,34,-22.1594,-4648.48,27.2606,0.325053
141000,55,-10.0978,-4636.28,43.3488,0.322143
142000,70,-40.2798,-4486.71,76.8268,0.3025
143000,72,-41.7355,-4486.07,75.399,0.289
144000,71,-39.7198,-4481.61,73.453,0.295
145000,77,-29.6082,-4483.24,72.6638,0.329
146000,79,-35.1562,-4480.94,78.6967,0.32
147000,77,-34.4446,-4479.77,65.5784,0.306
148000,76,-37.1712,-4469.13,67.2149,0.33
149000,61,-9.30138,-4616.1,48.2468,0.329375
150000,61,-13.8426,-4621.04,69.743,0.317
151000,57,-24.4342,-4632.95,51.3701,0.32975
152000,79,-45.6153,-4462.61,63.9032,0.29025
153000,71,-52.2751,-4465.52,55.6263,0.308
154000,73,-55.3715,-4473.31,61.6726,0.275
155000,75,-61.8571,-4470.21,68.646,0.296
156000,76,-62.9078,-4493.07,68.646,0.309
157000,73,-57.9656,-4503.73,66.8875,0.307
158000,71,-53.8599,-4492.31,57.1101,0.31
159000,71,-43.9153,-4490.18,66.4067,0.301
160000,72,-45.4191,-4495.17,63.9616,0.288
161000,77,-45.936,-4480.52,78.7858,0.318
162000,80,-49.0004,-4493.06,63.4202,0.325
163000,78,-40.5591,-4475.28,55.6613,0.324
164000,65,0.301502,-4609.92,52.9335,0.322286
165000,62,-6.96214,-4591.27,49.2249,0.329
166000,66,-7.12299,-4602.79,61.2027,0.311
167000,63,-2.28813,-4609.37,51.8881,0.295
168000,60,-0.769791,-4627.22,58.0096,0.302
169000,58,3.47616,-4601.02,55.8331,0.335
170000,59,-0.1959,-4614.58,58.4541,0.313
171000,62,3.80737,-4611.49,65.6407,0.32665
172000,71,18.5563,-4609.26,65.6407,0.317
173000,71,18.7655,-4618.99,62.6817,0.318
174000,86,-24.0353,-4494.25,72.493,0.301364
175000,93,-25.2741,-4482.7,98.5312,0.304
176000,84,-33.7437,-4471.49,95.8365,0.303
177000,78,-43.3854,-4485.97,70.1248,0.303
178000,73,-49.8661,-4487.65,59.5027,0.302
179000,70,-49.607,-4517.57,65.9711,0.313
180000,75,-54.5009,-4498.24,80.3449,0.308
181000,71,-56.6516,-4496,66.1717,0.301
