"","shifts","prob"
"1",76,0.000118
"2",77,0.000471
"3",78,0.000353
"4",79,0.000118
"5",80,0.000588
"6",81,0.000353
"7",82,0.000353
"8",83,0.000235
"9",84,0.000353
"10",85,0.000471
"11",86,0.000706
"12",87,0.000823
"13",88,0.000823
"14",89,0.00118
"15",90,0.000823
"16",91,0.00118
"17",92,0.00153
"18",93,0.00141
"19",94,0.00282
"20",95,0.00224
"21",96,0.00271
"22",97,0.00365
"23",98,0.00365
"24",99,0.00482
"25",100,0.00529
"26",101,0.00435
"27",102,0.00682
"28",103,0.00671
"29",104,0.00729
"30",105,0.00623
"31",106,0.01
"32",107,0.00812
"33",108,0.00941
"34",109,0.0101
"35",110,0.00941
"36",111,0.012
"37",112,0.0127
"38",113,0.0145
"39",114,0.0118
"40",115,0.0151
"41",116,0.0174
"42",117,0.0172
"43",118,0.0162
"44",119,0.018
"45",120,0.0186
"46",121,0.0209
"47",122,0.022
"48",123,0.0206
"49",124,0.0228
"50",125,0.0224
"51",126,0.0219
"52",127,0.0226
"53",128,0.0213
"54",129,0.0218
"55",130,0.0224
"56",131,0.0231
"57",132,0.0236
"58",133,0.0235
"59",134,0.0235
"60",135,0.0196
"61",136,0.0208
"62",137,0.0185
"63",138,0.0205
"64",139,0.0168
"65",140,0.0194
"66",141,0.0165
"67",142,0.0148
"68",143,0.0198
"69",144,0.0178
"70",145,0.0145
"71",146,0.0132
"72",147,0.0142
"73",148,0.0128
"74",149,0.0102
"75",150,0.00976
"76",151,0.0116
"77",152,0.00941
"78",153,0.0106
"79",154,0.00823
"80",155,0.00941
"81",156,0.00859
"82",157,0.00647
"83",158,0.00623
"84",159,0.00588
"85",160,0.00565
"86",161,0.00447
"87",162,0.00588
"88",163,0.00459
"89",164,0.00541
"90",165,0.00541
"91",166,0.00494
"92",167,0.00541
"93",168,0.00423
"94",169,0.00353
"95",170,0.00365
"96",171,0.00318
"97",172,0.00259
"98",173,0.00294
"99",174,0.00224
"100",175,0.00318
"101",176,0.00165
"102",177,0.00247
"103",178,0.00165
"104",179,0.00141
"105",180,0.00153
"106",181,0.000588
"107",182,0.000706
"108",183,0.000118
"109",184,0.00118
"110",185,0.000588
"111",186,0.000588
"112",187,0.000353
"113",188,0.000118
"114",189,0.000235
"115",190,0.000118
"116",191,0.000235
"117",192,0.000118
"118",193,0.000471
"119",194,0.000235
"120",195,0.000235
"121",196,0.000235
"122",198,0.000588
"123",199,0.000118
"124",200,0.000118
"125",202,0.000118
"126",205,0.000118
