generation,rank_1,rank_2,swapAccepted
1000,1,2,0
2000,1,3,0
3000,1,4,0
4000,1,2,1
5000,2,4,0
6000,3,4,0
7000,1,2,1
8000,2,4,1
9000,2,4,1
10000,1,4,1
11000,1,2,1
12000,2,3,0
13000,1,4,1
14000,1,4,1
15000,3,4,1
16000,3,4,1
17000,1,3,0
18000,2,4,0
19000,1,2,1
20000,1,4,0
21000,3,4,1
22000,1,2,1
23000,1,3,0
24000,3,4,1
25000,1,4,0
26000,1,3,0
27000,1,2,1
28000,1,3,0
29000,1,3,0
30000,1,4,0
31000,1,3,0
32000,1,3,0
33000,2,4,0
34000,3,4,1
35000,2,4,0
36000,2,4,0
37000,2,4,0
38000,1,3,0
39000,3,4,1
40000,2,3,0
41000,1,4,0
42000,1,4,0
43000,2,4,1
44000,1,2,1
45000,1,4,1
46000,2,3,0
47000,1,3,0
48000,3,4,1
49000,1,3,0
50000,1,3,0
51000,1,2,1
52000,1,2,1
53000,3,4,0
54000,2,4,0
55000,3,4,1
56000,1,4,0
57000,2,3,0
58000,2,3,1
59000,1,3,1
60000,3,4,0
61000,2,3,1
62000,2,3,0
63000,1,4,0
64000,1,2,1
65000,1,4,0
66000,1,3,0
67000,1,3,0
68000,2,4,0
69000,2,4,1
70000,2,4,1
71000,1,2,1
72000,2,4,0
73000,2,3,1
74000,1,2,0
75000,3,4,1
76000,3,4,1
77000,1,4,0
78000,3,4,0
79000,2,4,1
80000,2,3,1
81000,2,3,0
82000,2,4,0
83000,1,2,1
84000,1,2,1
85000,1,2,1
86000,1,3,0
87000,1,2,1
88000,1,3,0
89000,3,4,1
90000,2,3,0
91000,2,3,0
92000,1,2,1
93000,3,4,1
94000,1,3,0
95000,1,4,0
96000,2,4,0
97000,1,2,1
98000,1,2,1
99000,2,4,0
100000,3,4,1
101000,1,4,0
102000,1,3,0
103000,1,3,0
104000,1,3,0
105000,1,4,0
106000,1,4,0
107000,2,3,0
108000,2,3,0
109000,2,3,0
110000,2,3,0
111000,1,2,1
112000,2,4,0
113000,1,4,0
114000,2,4,0
115000,3,4,1
116000,1,3,0
