"","node","time","lam1","lam2","mu1","mu2","index"
"1",663,0,81.8374,0.0864734,0,0,1
"2",904,12.1932,2.57662,-0.0306573,0,0,2
"3",709,13.143,0.00125492,0.0363577,0,0,3
"4",677,16.6341,0.3769737,-0.00253697,0,0,4
"5",29,21.698,0.00439697,0.132905,0,0,5
"6",827,21.7714,0.431982,-0.0469696,0,0,6
"7",702,22.8028,0.00126701,-0.00919094,0,0,7
"8",920,23.5628,2.671459,0.00060478,0,0,8
"9",912,23.56665,0.19170418,0.081424,0,0,9
"10",695,23.9846,0.6331805,0.0048434,0,0,10
"11",337,25.6701,0.190404,0.009355,0,0,11
"12",683,26.1444,0.73303,-0.0135499,0,0,12
"13",699,26.9654,0.00192916,0.0517685,0,0,13
"14",840,26.9724,2.59144,0.0610021,0,0,14
"15",989,27.7237,5.18985,0.0169961,0,0,15
"16",838,28.008,1.06576,0.0419171,0,0,16
"17",12,28.511,0.202123,-0.022774825,0,0,17
"18",22,28.9118,1.74057,-0.0420239,0,0,18
"19",355,29.2502,0.478141,-0.0172483,0,0,19
"20",244,29.348,2.69198,0.00619613,0,0,20
"21",1121,29.349,2.08737,0.0386798,0,0,21
"22",932,29.52495,2.05554,-0.0094404,0,0,22
"23",249,29.7624,1.3745665,0.0224806,0,0,23
"24",357,29.9207,1.77519,0.0244092,0,0,24
"25",885,30.0193,1.64588,0.0181967,0,0,25
"26",173,30.1525,1.02857,0.0518282,0,0,26
"27",463,30.4094,0.4410985,0.006183775,0,0,27
"28",847,30.4916,2.05367,-0.0304986,0,0,28
"29",82,30.5381,0.214448,0.0265359,0,0,29
"30",1013,30.5998,2.41904,-0.0814982,0,0,30
"31",949,30.6445,1.01153,0.0593505,0,0,31
"32",168,30.6944,0.293165,0.0200387,0,0,32
"33",87,30.848,0.513376,0.0642637,0,0,33
"34",268,30.8749,0.19204,0.101926,0,0,34
"35",8,30.9719,0.175787,-0.0143007,0,0,35
"36",250,31.2362,2.79047,0.0259633,0,0,36
"37",857,31.465,0.0891036,-0.0229822,0,0,37
"38",204,31.5128,0.985448,0.0235839,0,0,38
"39",1107,31.8899,0.501363,-0.0128592,0,0,39
"40",21,31.9378,0.274958,-0.0563176,0,0,40
"41",1269,32.0328,0.359987,0.088183,0,0,41
"42",777,32.2138,1.76779,-0.00773246,0,0,42
"43",211,32.2525,0.0860254,0.0915517,0,0,43
"44",424,32.3469,0.0435398,-0.0365498,0,0,44
"45",883,32.3665,0.401391,-0.119064,0,0,45
"46",855,32.3828,0.105375,-0.0264262,0,0,46
"47",174,32.4285,0.0931082,0.0257886,0,0,47
"48",755,32.4459,0.825315,-0.0586108,0,0,48
"49",791,32.5568,1.11721,0.00366958,0,0,49
"50",15,32.604,0.146246,-0.0356969,0,0,50
"51",561,32.681,1.0424,0.0310382,0,0,51
"52",449,32.6872,3.2965,-0.0403737,0,0,52
"53",374,32.7946,0.696778,-0.0405643,0,0,53
"54",860,32.8099,0.214085,-0.0271198,0,0,54
"55",570,32.8187,0.129728,-0.0172784,0,0,55
"56",874,32.8272,6.30147,0.0217822,0,0,56
"57",201,32.8353,0.311097,-0.10685,0,0,57
"58",788,32.9728,0.212039,0.00287253,0,0,58
"59",30,32.989,0.0813819,0.00566484,0,0,59
"60",107,33.0385,2.71161,-0.0148658,0,0,60
"61",287,33.0466,0.233489,0.0322171,0,0,61
"62",605,33.06465,0.81851275,-0.0486469,0,0,62
"63",11,33.1102,0.954107,-0.0312421,0,0,63
"64",1274,33.1184,0.122288,0.0109604,0,0,64
"65",428,33.1292,0.47107,-0.0285472,0,0,65
"66",423,33.1385,1.77312,0.0265231,0,0,66
"67",281,33.1873,2.34756,0.0296203,0,0,67
"68",214,33.2383,1.24681,0.00190304,0,0,68
"69",457,33.2486,5.214,-0.0440745,0,0,69
"70",3,33.33685,1.18827225,0.0840349,0,0,70
"71",1213,33.3378,0.540633,0.0923017,0,0,71
"72",222,33.3723,0.727355,0.0155786,0,0,72
"73",945,33.4022,1.49864,-0.00588567,0,0,73
"74",138,33.4509,0.332706,-0.047163,0,0,74
"75",4,33.5382,1.42001,0.0629879,0,0,75
"76",166,33.5421,1.13454,0.039081,0,0,76
"77",389,33.5752,0.751742,-0.0516507,0,0,77
"78",24,33.5843,0.839781,-0.0532692,0,0,78
"79",1117,33.7217,2.13798,-0.014434,0,0,79
"80",10,33.7356,0.821459,-0.088914,0,0,80
"81",505,33.8451,1.43448,0.000350904,0,0,81
"82",556,33.8606,2.77586,-0.00449925,0,0,82
"83",139,33.8741,0.565911,0.0203199,0,0,83
"84",23,33.8742,0.0120831,0.0492706,0,0,84
"85",212,33.9086,2.66771,0.0312,0,0,85
"86",175,33.9906,0.407713,-0.016268,0,0,86
"87",448,34.0226,1.09162,0.054762,0,0,87
"88",258,34.0399,0.822719,0.0823104,0,0,88
"89",283,34.0427,0.809474,0.038409,0,0,89
"90",548,34.0718,0.322361,-0.0773945,0,0,90
"91",170,34.0721,0.0398606,-0.0378845,0,0,91
"92",252,34.0874,0.89832,-0.0751098,0,0,92
"93",435,34.1262,3.83914,0.0544883,0,0,93
"94",181,34.1547,0.554996,0.0239113,0,0,94
"95",190,34.1602,0.446416,-0.0310539,0,0,95
"96",597,34.171,0.215084,-0.0239203,0,0,96
