"","shifts","prob"
"1",39,0.000118
"2",44,0.000118
"3",45,0.000118
"4",46,0.000471
"5",47,0.000706
"6",48,0.000706
"7",49,0.00106
"8",50,0.00129
"9",51,0.00106
"10",52,0.00153
"11",53,0.00153
"12",54,0.00224
"13",55,0.00224
"14",56,0.00306
"15",57,0.00388
"16",58,0.00576
"17",59,0.00682
"18",60,0.006
"19",61,0.00659
"20",62,0.00988
"21",63,0.00988
"22",64,0.0106
"23",65,0.0113
"24",66,0.0109
"25",67,0.0126
"26",68,0.0134
"27",69,0.0187
"28",70,0.0162
"29",71,0.0191
"30",72,0.0194
"31",73,0.02
"32",74,0.0195
"33",75,0.0189
"34",76,0.0206
"35",77,0.0239
"36",78,0.0233
"37",79,0.0275
"38",80,0.0303
"39",81,0.0247
"40",82,0.0254
"41",83,0.0276
"42",84,0.0256
"43",85,0.0263
"44",86,0.026
"45",87,0.0291
"46",88,0.0256
"47",89,0.0263
"48",90,0.0233
"49",91,0.0238
"50",92,0.0252
"51",93,0.0255
"52",94,0.0193
"53",95,0.0208
"54",96,0.018
"55",97,0.0181
"56",98,0.016
"57",99,0.0135
"58",100,0.0125
"59",101,0.014
"60",102,0.0129
"61",103,0.012
"62",104,0.0116
"63",105,0.00953
"64",106,0.0108
"65",107,0.0105
"66",108,0.00776
"67",109,0.00718
"68",110,0.00671
"69",111,0.00706
"70",112,0.00435
"71",113,0.00471
"72",114,0.00682
"73",115,0.00447
"74",116,0.00341
"75",117,0.00471
"76",118,0.00412
"77",119,0.00306
"78",120,0.00306
"79",121,0.00141
"80",122,0.00235
"81",123,0.00129
"82",124,0.00118
"83",125,0.00106
"84",126,0.000706
"85",127,0.00106
"86",128,0.00106
"87",129,0.000823
"88",130,0.000588
"89",131,0.000823
"90",132,0.000706
"91",133,0.000471
"92",134,0.000235
"93",135,0.000588
"94",136,0.000471
"95",137,0.000353
"96",138,0.000235
"97",139,0.000235
"98",140,0.000353
"99",141,0.000118
"100",142,0.000118
"101",143,0.000118
"102",144,0.000118
"103",145,0.000118
"104",149,0.000118
"105",151,0.000118
"106",155,0.000118
"107",158,0.000118
