generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-1.72579,-563903,10,0
1000,6,-30.8836,-131739,6.79936,0.198
2000,0,-32.5393,-8848.9,3.33146,0.204398
3000,2,-75.3493,-5875.55,2.82587,0.312
4000,1,-108.305,-5655.22,1.98448,0.379
5000,2,-106.294,-5696.62,1.01427,0.41
6000,6,-108.177,-5698.86,7.26513,0.439
7000,11,-109.72,-5712.19,7.98299,0.409
8000,10,-93.3931,-5627.63,11.318,0.301714
9000,8,-113.852,-5634.92,5.92895,0.414
10000,19,-75.6477,-5544.31,20.9474,0.256174
11000,10,-99.5149,-5648.52,7.45374,0.310881
12000,1,-102.94,-5679.5,0.852098,0.419
13000,3,-117.559,-5669.56,3.68874,0.376
14000,26,-91.2387,-5620.18,20.0448,0.394
15000,1,-103.389,-5697.58,0.430203,0.4095
16000,17,-94.6407,-5643.24,18.8437,0.4085
17000,3,-112.187,-5711.45,2.96706,0.403
18000,4,-109.352,-5691.29,4.82448,0.442
19000,7,-114.295,-5713.78,7.26655,0.424333
20000,9,-123.623,-5727.67,6.68997,0.417
21000,6,-117.214,-5742.99,1.71465,0.434
22000,7,-117.875,-5731.12,9.25337,0.424
23000,11,-110.222,-5713.44,9.23055,0.41575
24000,11,-113.127,-5716.21,6.19148,0.423
25000,12,-105.749,-5696.56,9.96512,0.423
26000,7,-127.546,-5749.11,7.05132,0.424
27000,9,-121.829,-5739.67,12.9402,0.408
28000,9,-113.381,-5750.99,10.6542,0.406
29000,17,-117.514,-5713.42,18.1271,0.418538
30000,5,-109.413,-5705.14,6.24741,0.4062
31000,11,-113.862,-5714.79,14.6089,0.40575
32000,13,-109.918,-5689.78,12.9409,0.373
33000,11,-113.207,-5673.45,8.76059,0.419
34000,10,-110.85,-5687.8,4.70242,0.383
35000,12,-111.128,-5695.36,8.94101,0.409
36000,10,-116.597,-5706.3,9.25395,0.405167
37000,7,-114.472,-5720.1,5.59691,0.408333
38000,7,-120.324,-5722.48,8.25825,0.451
39000,9,-118.778,-5713.23,7.56945,0.4198
40000,12,-114.579,-5714.1,14.3674,0.419
41000,13,-114.506,-5697.76,17.1922,0.429
42000,14,-117.666,-5709.12,16.0321,0.419167
43000,16,-111.102,-5698.66,16.7897,0.421
44000,18,-106.197,-5704.58,22.0471,0.416
45000,16,-106.438,-5707.21,16.9768,0.445
46000,16,-114.049,-5694.48,14.4036,0.439
47000,13,-116.975,-5676.12,16.2727,0.403
48000,14,-114.6,-5697.71,11.4803,0.419
49000,19,-107.39,-5664.82,22.4017,0.389
50000,16,-101.963,-5698.15,12.6825,0.411067
51000,14,-107.013,-5672.8,16.5784,0.401
52000,22,-113.996,-5686.96,20.5333,0.394
53000,27,-103.355,-5688.73,25.3932,0.4125
54000,22,-107.388,-5696.88,16.323,0.395
55000,19,-113.154,-5711.97,12.6477,0.427
56000,16,-110.794,-5674.38,12.156,0.395
57000,4,-109.446,-5735.09,5.40193,0.418421
58000,5,-120.255,-5717.8,4.17233,0.403
59000,4,-122.815,-5732.27,11.0876,0.412
60000,12,-119.341,-5718.77,14.0679,0.437
61000,10,-116.769,-5711.27,11.2322,0.384
62000,11,-121.778,-5722.62,8.11089,0.425
63000,7,-122.068,-5715.52,4.77234,0.418
64000,7,-121.391,-5713.96,11.1784,0.399
65000,12,-119.775,-5720.97,9.56284,0.416
66000,31,-110.034,-5694.17,30.4068,0.4064
67000,25,-97.918,-5672.99,22.0038,0.398867
68000,26,-103.014,-5653.68,33.0176,0.417
69000,32,-111.5,-5641.15,29.5143,0.395
70000,9,-123.208,-5731.26,6.734,0.4208
71000,25,-121.558,-5688.8,28.1853,0.411
72000,27,-114.742,-5675.14,22.9869,0.4
73000,27,-101.828,-5683.68,26.1015,0.418
74000,23,-101.665,-5658.03,17.4431,0.401
75000,28,-98.4691,-5653.95,20.8752,0.405
76000,23,-97.7007,-5656.24,20.8285,0.399
77000,19,-96.8235,-5690.33,16.7202,0.417
78000,18,-107.231,-5678.62,14.4009,0.418
79000,16,-104.637,-5691.09,13.3156,0.413
80000,18,-105.176,-5681.08,14.5117,0.398
81000,16,-121.574,-5690.91,18.47,0.41905
82000,24,-103.74,-5673.91,21.7224,0.4165
83000,22,-108.236,-5659.85,19.5265,0.395
84000,25,-105.519,-5676.69,31.2092,0.422
85000,28,-108.461,-5680.95,28.7886,0.397
86000,29,-103.996,-5698.33,25.397,0.38
87000,27,-103.959,-5660.1,25.6628,0.428
88000,27,-106.012,-5667.88,17.2196,0.399
89000,21,-104.502,-5660.9,12.6326,0.399
90000,18,-102.61,-5660.02,20.8455,0.408
91000,16,-105.407,-5666.35,13.1012,0.394
92000,13,-100.572,-5673.46,15.0546,0.381
93000,14,-102.745,-5678.76,15.7006,0.411
94000,13,-96.3413,-5683.39,11.5498,0.4
95000,3,-117.261,-5691.55,3.21281,0.41184
96000,12,-107.769,-5679.22,8.72557,0.389
97000,20,-103.282,-5664.13,15.9906,0.393
98000,25,-104.923,-5666.44,22.5943,0.402
99000,18,-103.973,-5663.47,17.8313,0.391
100000,14,-106.422,-5683.74,11.5893,0.395
101000,20,-99.7337,-5713.54,14.6973,0.411062
102000,23,-110.263,-5691.3,21.2879,0.408667
103000,22,-109.261,-5683.2,25.4686,0.404
104000,25,-99.2986,-5694.05,26.3483,0.398
105000,18,-107.223,-5676.83,20.4644,0.439
106000,15,-108.475,-5652.89,8.77108,0.428
107000,9,-102.131,-5644.41,8.06707,0.408
108000,13,-106.731,-5680.73,9.3657,0.405125
109000,13,-111.376,-5701.24,14.0521,0.385
110000,16,-110.729,-5686.07,12.836,0.396
111000,12,-109.866,-5667.72,10.9384,0.396
112000,20,-119.989,-5690.48,15.3999,0.404333
113000,14,-121.274,-5714.94,22.4665,0.396167
114000,9,-119.505,-5717.67,9.73336,0.418632
115000,4,-124.379,-5732.1,6.2481,0.42
116000,6,-123.778,-5743.96,7.01228,0.415
117000,5,-121.345,-5728.36,3.61178,0.433
118000,10,-126.813,-5728.84,10.939,0.426
119000,22,-120.041,-5705.22,21.4212,0.4155
120000,26,-115.274,-5689.84,23.28,0.433
121000,30,-110.503,-5689.53,21.3797,0.44
122000,23,-115.729,-5696.17,23.6274,0.4
123000,10,-119.064,-5703.39,10.1856,0.431
124000,17,-109.619,-5686.31,11.2015,0.4195
125000,22,-108.063,-5700.6,25.1915,0.384
126000,41,-106.522,-5672.41,40.42,0.41575
127000,38,-110.342,-5664.97,35.903,0.426
128000,28,-102.055,-5679.73,26.3779,0.452
129000,24,-99.5657,-5686.02,19.7382,0.42
130000,20,-113.699,-5693.92,19.9971,0.4256
131000,18,-111.863,-5695.87,14.7395,0.423
132000,20,-105.295,-5693.96,16.2739,0.396667
133000,19,-101.051,-5685.33,15.4585,0.4185
134000,16,-122.981,-5732.77,12.3712,0.4225
135000,20,-107.531,-5738.71,14.4101,0.423
136000,25,-91.5538,-5672.79,14.8945,0.403667
137000,27,-110.829,-5691.75,17.8522,0.399
138000,25,-103.33,-5686.87,23.6005,0.395
139000,24,-109.339,-5749.36,21.7621,0.424187
140000,33,-109.647,-5709.55,26.8435,0.397875
141000,32,-106.678,-5708.38,32.3005,0.396
