"","node","time","lam1","lam2","mu1","mu2","index"
"1",716,0,126.694,0.103615,0,0,1
"2",777,21.6047,2.1037,0.0326458,0,0,2
"3",736,21.6608,2.92859666666667,-0.000211972,0,0,3
"4",764,22.9854333333333,1.66864,-0.0425709,0,0,4
"5",98,23.3579666666667,0.411289333333333,-0.0276197,0,0,5
"6",752,24.0744,3.37753,-0.0184288,0,0,6
"7",32,24.445925,1.1561695,0.0304452375,0,0,7
"8",297,25.2604,0.668895,0.00109955,0,0,8
"9",975,28.4558,1.59213666666667,-0.0307317,0,0,9
"10",971,28.7753333333333,0.0952042666666667,0.0676594,0,0,10
"11",324,29.5215,1.27215,0.0567015,0,0,11
"12",1084,29.6347,0.0841411,0.0231868,0,0,12
"13",36,30.8566666666667,3.47042,0.00881608,0,0,13
"14",1124,31.0108,7.46612e-05,0.064886,0,0,14
"15",376,31.0628666666667,1.03157133333333,0.0164662,0,0,15
"16",1340,31.1245,0.00500061,0.146525,0,0,16
"17",220,31.2243333333333,0.890023333333333,-0.0182385,0,0,17
"18",446,31.6187666666667,0.00422167333333333,-0.0633302,0,0,18
"19",933,31.7738,0.619445333333333,-0.0136171,0,0,19
"20",1378,31.8213,0.172322666666667,-0.0483931,0,0,20
"21",112,32.3355,0.842809666666667,0.0302877,0,0,21
"22",1345,32.385,0.591559,0.0559914,0,0,22
"23",362,32.5557666666667,0.070054,0.0387733,0,0,23
"24",1006,32.9401,0.276644,0.00702631,0,0,24
"25",1229,33.3505,0.637115,-0.0249248,0,0,25
"26",537,33.863,1.75315,0.0277113,0,0,26
"27",314,33.9185,0.317798,0.0351336,0,0,27
