"","shifts","prob"
"1",10,0.000118
"2",11,0.000118
"3",13,0.000118
"4",14,0.000471
"5",15,0.000471
"6",16,0.000706
"7",17,0.000941
"8",18,0.002
"9",19,0.00259
"10",20,0.00153
"11",21,0.00282
"12",22,0.00259
"13",23,0.00506
"14",24,0.00565
"15",25,0.00659
"16",26,0.00929
"17",27,0.00835
"18",28,0.00941
"19",29,0.0134
"20",30,0.0138
"21",31,0.0161
"22",32,0.0165
"23",33,0.0161
"24",34,0.016
"25",35,0.0189
"26",36,0.0225
"27",37,0.0234
"28",38,0.0213
"29",39,0.0219
"30",40,0.0218
"31",41,0.0244
"32",42,0.0268
"33",43,0.0291
"34",44,0.0263
"35",45,0.0262
"36",46,0.0276
"37",47,0.0261
"38",48,0.0265
"39",49,0.028
"40",50,0.0253
"41",51,0.0281
"42",52,0.0229
"43",53,0.0227
"44",54,0.0238
"45",55,0.0209
"46",56,0.022
"47",57,0.0214
"48",58,0.0213
"49",59,0.0208
"50",60,0.0185
"51",61,0.0195
"52",62,0.0195
"53",63,0.0162
"54",64,0.0139
"55",65,0.0141
"56",66,0.0126
"57",67,0.0138
"58",68,0.0112
"59",69,0.0109
"60",70,0.0111
"61",71,0.0111
"62",72,0.00965
"63",73,0.00612
"64",74,0.00671
"65",75,0.00623
"66",76,0.00623
"67",77,0.00541
"68",78,0.00529
"69",79,0.00447
"70",80,0.00235
"71",81,0.00376
"72",82,0.00306
"73",83,0.00235
"74",84,0.00271
"75",85,0.00153
"76",86,0.00141
"77",87,0.00212
"78",88,0.00141
"79",89,0.00118
"80",90,0.00106
"81",91,0.000823
"82",92,0.000235
"83",93,0.000588
"84",94,0.000823
"85",95,0.000235
"86",96,0.000118
"87",97,0.000471
"88",99,0.000118
"89",102,0.000118
"90",103,0.000118
"91",104,0.000118
"92",107,0.000118
